id|name|has_tono_records|video_id|type_id|version|creation_began|creation_finished|offset|duration|location
626055|Frikanalen Informasjonsfilm|f|626055|2|1|2018-11-10 12:33:26.247865+00:00||0|48.09|http://frontend.frikanalen.tv/media/626055/broadcast/Frikanalen_1_4.dv
626053|God Søndag fra P7 - Guds bolig er hos menneskene (2) - Hage og alter, tabernakel og tempel|f|626053|2|1|2018-11-07 10:09:46.961185+00:00||0|3358.0|http://frontend.frikanalen.tv/media/626053/broadcast/tv_gs_260.dv
626047|God Søndag fra P7 - Guds bolig er hos menneskene (1) - To adresser|f|626047|2|1|2018-10-30 07:53:03.094669+00:00||0|3329.8|http://frontend.frikanalen.tv/media/626047/broadcast/tv_gs_259.dv
626040|God Søndag fra P7 - Levende steiner - 2.time|f|626040|2|1|2018-10-09 10:05:43.091196+00:00||0|3395.24|http://frontend.frikanalen.tv/media/626040/broadcast/tv_gs_256.dv
626029|God Søndag fra P7 - Guds menighet - Den store hemmeligheten|f|626029|2|1|2018-05-31 09:11:52.090782+00:00||0|3374.52|http://frontend.frikanalen.tv/media/626029/broadcast/tv_gs_251.dv
626022|God Søndag fra P7 - Jesus - Guds hemmelighet|f|626022|2|1|2018-05-25 09:01:33.160948+00:00||0|3351.92|http://frontend.frikanalen.tv/media/626022/broadcast/tv_gs_250.dv
626019|God Søndag fra P7 - Oljeberget|f|626019|2|1|2018-05-15 11:35:14.117035+00:00||0|3433.68|http://frontend.frikanalen.tv/media/626019/broadcast/tv_gs_249.dv
626011|God Søndag fra P7 - Israels fjell - del 2|f|626011|2|1|2018-05-02 09:12:04.985955+00:00||0|3379.64|http://frontend.frikanalen.tv/media/626011/broadcast/tv_gs_248.dv
626006|God Søndag fra P7 - Israels fjell - del 1|f|626006|2|1|2018-04-23 09:12:09.049446+00:00||0|3261.32|http://frontend.frikanalen.tv/media/626006/broadcast/tv_gs_246.dv
626005|God Søndag fra P7 - Jesus alene|f|626005|2|1|2018-04-23 06:43:31.414586+00:00||0|3376.52|http://frontend.frikanalen.tv/media/626005/broadcast/tv_gs_247.dv
625999|God Søndag fra P7 - Bønnefjellet|f|625999|2|1|2018-04-14 06:12:30.241199+00:00||0|3482.12|http://frontend.frikanalen.tv/media/625999/broadcast/tv_gs_244.dv
625998|God Søndag fra P7 - Israels vokter slumrer ikke - 3|f|625998|2|1|2018-03-27 09:21:28.597124+00:00||0|3423.24|http://frontend.frikanalen.tv/media/625998/broadcast/tv_gs_243.dv
625997|God Søndag fra P7 - Israels vokter slumrer ikke - 2|f|625997|2|1|2018-03-26 12:57:40.464092+00:00||0|3367.84|http://frontend.frikanalen.tv/media/625997/broadcast/tv_gs_242.dv
625982|God Søndag fra P7 - Israels vokter slumrer ikke - 1|f|625982|2|1|2018-03-20 10:21:12.373827+00:00||0|3449.68|http://frontend.frikanalen.tv/media/625982/broadcast/tv_gs_241.dv
625981|God Søndag fra P7 - Kom til kilden|f|625981|2|1|2018-03-15 09:03:37.914678+00:00||0|3319.72|http://frontend.frikanalen.tv/media/625981/broadcast/tv_gs_240.dv
625980|God Søndag fra P7 - Jeremia - Mannen og Budskapet|f|625980|2|1|2018-03-02 14:34:03.846563+00:00||0|3394.16|http://frontend.frikanalen.tv/media/625980/broadcast/tv_gs_239.dv
625979|God Søndag fra P7 - Jesus i klagesangene|f|625979|2|1|2018-02-23 09:44:21.672340+00:00||0|3438.96|http://frontend.frikanalen.tv/media/625979/broadcast/tv_gs_238.dv
625978|God Søndag fra P7 - Bokrull nummer 32|f|625978|2|1|2018-02-21 08:52:28.379298+00:00||0|3388.28|http://frontend.frikanalen.tv/media/625978/broadcast/tv_gs_237.dv
625975|God Søndag fra P7 - Stor er din trofasthet|f|625975|2|1|2018-02-14 13:23:49.827012+00:00||0|3325.56|http://frontend.frikanalen.tv/media/625975/broadcast/tv_gs_236.dv
625973|God Søndag fra P7 - Når det går i surr med trådene|f|625973|2|1|2018-02-08 07:05:03.027073+00:00||0|3387.28|http://frontend.frikanalen.tv/media/625973/broadcast/tv_gs_235.dv
625970|Trustworthy computers|f|625970|2|1|2018-01-13 11:53:31.549830+00:00||0|3502.12|http://frontend.frikanalen.tv/media/625970/broadcast/20180109-trustworthy-frikanalen.dv
625969|Nivlheim, et verktøy for datainnsamling fra datamaskiner|f|625969|2|1|2018-01-13 11:10:32.818088+00:00||0|1917.12|http://frontend.frikanalen.tv/media/625969/broadcast/20171212-nivlheim-frikanalen.dv
625966|TED - Rutger Bregman: Poverty isn't a lack of character; it's a lack of cash|f|625966|2|1|2017-12-21 07:58:28.543159+00:00||0|902.12|http://frontend.frikanalen.tv/media/625966/broadcast/RutgerBregman_2017.dv
625965|God Søndag fra P7 - Et liv i tro (4)|f|625965|2|1|2017-12-14 11:42:31.125463+00:00||0|3450.24|http://frontend.frikanalen.tv/media/625965/broadcast/tv_gs_234.dv
625964|God Søndag fra P7 - Et liv i tro (3)|f|625964|2|1|2017-12-13 08:43:48.784840+00:00||0|3588.4|http://frontend.frikanalen.tv/media/625964/broadcast/tv_gs_233.dv
625963|God Søndag fra P7 - Et liv i tro (2)|f|625963|2|1|2017-12-12 08:30:23.281686+00:00||0|3592.48|http://frontend.frikanalen.tv/media/625963/broadcast/tv_gs_232.dv
625962|God Søndag fra P7 - Et liv i tro (1) - Troens begynnelse|f|625962|2|1|2017-12-07 06:59:23.063569+00:00||0|3514.08|http://frontend.frikanalen.tv/media/625962/broadcast/tv_gs_231.dv
