id|name|has_tono_records|video_id|type_id|version|creation_began|creation_finished|offset|duration|location
524706|Piano: Randi Sickel|f|524706|2|1|2011-09-05 18:42:36.340546||0|1660.16|http://frontend.frikanalen.tv/media/431/broadcast/orig_Piano - Randi Kvile Sickel spiller A Skrjabin og F Schubert.avi
524707|Piano: R Sickel og T Fimreite|f|524707|2|1|2011-09-05 18:42:36.340546||0|1655.36|http://frontend.frikanalen.tv/media/432/broadcast/orig_Piano-  Randi Sickel og Thorild Fimreite - siste.avi
524708|Piano: Jesper H Svenssen|f|524708|2|1|2011-09-05 18:42:36.340546||0|1616.24|http://frontend.frikanalen.tv/media/434/broadcast/orig_Piano - Jesper Holkvist Svenssen spiller Mozart.avi
524709|Piano: T. Fimreite spiller Grieg|f|524709|2|1|2011-09-05 18:42:36.340546||0|978.24|http://frontend.frikanalen.tv/media/435/broadcast/orig_Piano-  Thorild Fimreite spiller Grieg.avi
524776|tekstplakat - åpen - foreningen frikanalen|f|524776|2|1|2011-09-05 18:42:36.340546||0|12|http://frontend.frikanalen.tv/media/711/broadcast/orig_tekstplakat - åpen - foreningen frikanalen.avi
524777|tekstplakat - åpen - frikanalen_no|f|524777|2|1|2011-09-05 18:42:36.340546||0|12|http://frontend.frikanalen.tv/media/712/broadcast/orig_tekstplakat - åpen - frikanalen_no.avi
524778|tekstplakat - åpen - frikanalen_tv|f|524778|2|1|2011-09-05 18:42:36.340546||0|12|http://frontend.frikanalen.tv/media/713/broadcast/orig_tekstplakat - åpen - frikanalen_tv.avi
524779|tekstplakat - åpen - frikanalen_tv|f|524779|2|1|2011-09-05 18:42:36.340546||0|12|http://frontend.frikanalen.tv/media/714/broadcast/orig_tekstplakat - åpen - frikanalen_tv.avi
524870|tekstplakat - andre - foreningen frikanalen|f|524870|2|1|2011-09-05 18:42:36.340546||0|12|http://frontend.frikanalen.tv/media/1270/broadcast/orig_tekstplakat - andre - foreningen frikanalen.avi
524871|tekstplakat - andre - frikanalen_no|f|524871|2|1|2011-09-05 18:42:36.340546||0|12|http://frontend.frikanalen.tv/media/1271/broadcast/orig_tekstplakat - andre - frikanalen_no.avi
